Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Algeria,DZA,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.361337439,0.490979105,1.230476254,1.782898776,2.414981849,3.826014989,7.619959243,63.32573827,67.60850484,50.03129395,48.02622369,
East Asia & Pacific (excluding high income),EAP,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.433923233,3.553350414,6.864736105,8.996984966,14.1730259,24.40874171,106.0769495,464.6850538,677.1429598,995.2229807,1212.895604,
Early-demographic dividend,EAR,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.116090445,10.00635731,17.51467051,21.04814904,25.79873754,33.6293164,126.8477304,501.4639668,623.3781327,849.1656134,1005.512971,
East Asia & Pacific,EAS,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.8647082,78.56860665,112.0795338,129.8657273,162.469555,195.8753517,410.7161437,1232.497172,1991.61604,3005.902055,3520.144648,
Europe & Central Asia (excluding high income),ECA,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.92815746,40.39403081,79.81982979,100.9282226,134.2321934,235.549822,1045.303555,3331.053749,4531.628245,6649.850285,8737.040343,
Europe & Central Asia,ECS,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.4023509,530.5811349,792.4608452,936.2994074,1176.90648,1611.037838,4425.442727,12183.36662,18871.64644,26687.18638,31897.97592,
Ecuador,ECU,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.59215192,13.84161583,23.97554778,30.68603078,41.68800173,81.35937639,120.5497554,209.9449067,265.6230766,313.5781948,380.3761932,
"Egypt, Arab Rep.",EGY,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.477004816,2.981216526,5.056568772,6.368443145,8.017723659,10.54709125,14.69606188,36.18733176,35.11352897,35.33288157,44.00279738,
Euro area,EMU,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544.0315149,782.2886802,1192.369571,1428.149971,1853.6071,2493.805517,6795.521246,19623.27853,30477.07253,42217.27651,51693.2422,
Eritrea,ERI,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.315413932,0.311141769,0,0,,0,0,0,0.28962027,0.85784948,0.845921825,
