Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Europe & Central Asia (excluding high income),ECA,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34820,549868,1281716,3573880,6882908,12205770,19616081,25780972,32263263,36752152,42776837,48499639,50755658,56222929,59477602,65892658,69752284,73871672,79300219,
Europe & Central Asia,ECS,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13727835,24979185.33,43256734,66095135,91501481,116707962,136931466,153568081,168621886,181138326,192487473,204571387,212703007,224231358,233418314,246113221,254895460,263528614,274724327,
Ecuador,ECU,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2623,6499,6916,11620,26786,46000,100000,155998,241233,221320,658923,843704,1058453,1319627,1487592,1609586,1778607,1953607,2092458,2371297,
"Egypt, Arab Rep.",EGY,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50937,54850,79217,140999,258526,477432,769744,1077489,1451628,1845249,2288773,2676263,3067878,3826410,4469164,5233872,6624421,7598941,9349469,
Euro area,EMU,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1309768,5079735,10106274,17593841,29826736,43227698,57427664,70822337,79836065,87304962,93258871,97708292,101216075,104961909,109188451,113432797,117667149,122061035,125537221,128653464,132641924,
Eritrea,ERI,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,70,118,141,185,146,200,500,600,1000,,3000,5000,
Spain,ESP,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76358,466600,1247496,2121930,3401411,5035203,6739110,8055780,9135959,9800597,10652372,11167809,11524543,12252061,13004969,13542906,14112657,14668212,15176954,15616591,16188502,
Estonia,EST,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17474,46500,90300,138677,179200,246800,264949,294660,313625,347883,348946,349507,360948,371009,390275,414478,428453,441173,431251,415610,
Ethiopia,ETH,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,35,61,261,1036,1496,3498,4107,6353,8535,238067,471285,478000,559000,62950,,159000,212000,
European Union,EUU,Fixed broadband subscriptions,IT.NET.BBND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1631668,5960319,11661813,20101399,33914418,50058223,68601295,85599736,96626366,106409586,113613097,120106101,124201793,129032849,134102590,139127853,144211616,149810842,154290848,158442729,163722540,
